time,level
2025-02-15 03:06:30,light
2025-02-15 03:07:30,light
2025-02-15 03:07:30,light
2025-02-15 03:08:30,deep
2025-02-15 03:08:30,deep
2025-02-15 03:09:30,deep
2025-02-15 03:09:30,deep
2025-02-15 03:10:30,deep
2025-02-15 03:10:30,deep
2025-02-15 03:11:30,deep
2025-02-15 03:11:30,deep
2025-02-15 03:12:30,deep
2025-02-15 03:12:30,deep
2025-02-15 03:13:30,deep
2025-02-15 03:13:30,deep
2025-02-15 03:14:30,deep
2025-02-15 03:14:30,deep
2025-02-15 03:15:30,deep
2025-02-15 03:15:30,deep
2025-02-15 03:16:30,deep
2025-02-15 03:16:30,deep
2025-02-15 03:17:30,deep
2025-02-15 03:17:30,deep
2025-02-15 03:18:30,deep
2025-02-15 03:18:30,deep
2025-02-15 03:19:30,deep
2025-02-15 03:19:30,deep
2025-02-15 03:20:30,deep
2025-02-15 03:20:30,deep
2025-02-15 03:21:30,deep
2025-02-15 03:21:30,deep
2025-02-15 03:22:30,deep
2025-02-15 03:22:30,deep
2025-02-15 03:23:30,deep
2025-02-15 03:23:30,deep
2025-02-15 03:24:30,deep
2025-02-15 03:24:30,deep
2025-02-15 03:25:30,deep
2025-02-15 03:25:30,deep
2025-02-15 03:26:30,deep
2025-02-15 03:26:30,deep
2025-02-15 03:27:30,wake
2025-02-15 03:27:30,wake
2025-02-15 03:28:30,wake
2025-02-15 03:28:30,wake
2025-02-15 03:29:30,wake
2025-02-15 03:29:30,wake
2025-02-15 03:31:00,light
2025-02-15 03:31:00,light
2025-02-15 03:32:00,light
2025-02-15 03:32:00,light
2025-02-15 03:33:00,light
2025-02-15 03:33:00,light
2025-02-15 03:34:00,light
2025-02-15 03:34:00,light
2025-02-15 03:35:00,light
2025-02-15 03:35:00,light
2025-02-15 03:36:00,light
2025-02-15 03:36:00,light
2025-02-15 03:37:00,light
2025-02-15 03:37:00,light
2025-02-15 03:38:00,light
2025-02-15 03:38:00,light
2025-02-15 03:39:00,light
2025-02-15 03:39:00,light
2025-02-15 03:40:00,light
2025-02-15 03:40:00,light
2025-02-15 03:41:00,light
2025-02-15 03:41:00,light
2025-02-15 03:42:00,light
2025-02-15 03:42:00,light
2025-02-15 03:43:00,light
2025-02-15 03:43:00,light
2025-02-15 03:44:00,light
2025-02-15 03:44:00,light
2025-02-15 03:45:00,light
2025-02-15 03:45:00,light
2025-02-15 03:46:00,deep
2025-02-15 03:46:00,deep
2025-02-15 03:47:00,deep
2025-02-15 03:47:00,deep
2025-02-15 03:48:00,deep
2025-02-15 03:48:00,deep
2025-02-15 03:49:00,deep
2025-02-15 03:49:00,deep
2025-02-15 03:50:00,deep
2025-02-15 03:50:00,deep
2025-02-15 03:51:00,deep
2025-02-15 03:51:00,deep
2025-02-15 03:52:00,deep
2025-02-15 03:52:00,deep
2025-02-15 03:53:00,deep
2025-02-15 03:53:00,deep
2025-02-15 03:54:00,deep
2025-02-15 03:54:00,deep
2025-02-15 03:55:00,light
2025-02-15 03:55:00,light
2025-02-15 03:56:00,light
2025-02-15 03:56:00,light
2025-02-15 03:57:30,rem
2025-02-15 03:57:30,rem
2025-02-15 03:58:30,rem
2025-02-15 03:58:30,rem
2025-02-15 03:59:30,rem
2025-02-15 03:59:30,rem
2025-02-15 04:00:30,rem
2025-02-15 04:00:30,rem
2025-02-15 04:01:30,rem
2025-02-15 04:01:30,rem
2025-02-15 04:02:30,rem
2025-02-15 04:02:30,rem
2025-02-15 04:03:30,rem
2025-02-15 04:03:30,rem
2025-02-15 04:04:30,rem
2025-02-15 04:04:30,rem
2025-02-15 04:05:30,rem
2025-02-15 04:05:30,rem
2025-02-15 04:06:30,rem
2025-02-15 04:06:30,rem
2025-02-15 04:07:30,rem
2025-02-15 04:07:30,rem
2025-02-15 04:08:30,rem
2025-02-15 04:08:30,rem
2025-02-15 04:09:30,rem
2025-02-15 04:09:30,rem
2025-02-15 04:10:30,rem
2025-02-15 04:10:30,rem
2025-02-15 04:11:30,rem
2025-02-15 04:11:30,rem
2025-02-15 04:12:30,rem
2025-02-15 04:12:30,rem
2025-02-15 04:13:30,rem
2025-02-15 04:13:30,rem
2025-02-15 04:14:30,wake
2025-02-15 04:14:30,wake
2025-02-15 04:15:30,wake
2025-02-15 04:15:30,wake
2025-02-15 04:16:30,wake
2025-02-15 04:16:30,wake
2025-02-15 04:17:30,wake
2025-02-15 04:17:30,wake
2025-02-15 04:18:30,wake
2025-02-15 04:18:30,wake
2025-02-15 04:19:30,wake
2025-02-15 04:19:30,wake
2025-02-15 04:20:30,light
2025-02-15 04:20:30,light
2025-02-15 04:21:30,light
2025-02-15 04:21:30,light
2025-02-15 04:22:30,light
2025-02-15 04:22:30,light
2025-02-15 04:23:30,light
2025-02-15 04:23:30,light
2025-02-15 04:24:30,light
2025-02-15 04:24:30,light
2025-02-15 04:25:30,light
2025-02-15 04:25:30,light
2025-02-15 04:26:30,light
2025-02-15 04:26:30,light
2025-02-15 04:27:30,light
2025-02-15 04:27:30,light
2025-02-15 04:28:30,light
2025-02-15 04:28:30,light
2025-02-15 04:29:30,light
2025-02-15 04:29:30,light
2025-02-15 04:30:30,light
2025-02-15 04:30:30,light
2025-02-15 04:31:30,light
2025-02-15 04:31:30,light
2025-02-15 04:32:30,light
2025-02-15 04:32:30,light
2025-02-15 04:33:30,light
2025-02-15 04:33:30,light
2025-02-15 04:34:30,light
2025-02-15 04:34:30,light
2025-02-15 04:35:30,light
2025-02-15 04:35:30,light
2025-02-15 04:36:30,light
2025-02-15 04:36:30,light
2025-02-15 04:37:30,light
2025-02-15 04:37:30,light
2025-02-15 04:38:30,light
2025-02-15 04:38:30,light
2025-02-15 04:39:30,deep
2025-02-15 04:39:30,deep
2025-02-15 04:40:30,deep
2025-02-15 04:40:30,deep
2025-02-15 04:41:30,deep
2025-02-15 04:41:30,deep
2025-02-15 04:42:30,deep
2025-02-15 04:42:30,deep
2025-02-15 04:43:30,deep
2025-02-15 04:43:30,deep
2025-02-15 04:44:30,deep
2025-02-15 04:44:30,deep
2025-02-15 04:45:30,deep
2025-02-15 04:45:30,deep
2025-02-15 04:46:30,deep
2025-02-15 04:46:30,deep
2025-02-15 04:47:30,deep
2025-02-15 04:47:30,deep
2025-02-15 04:48:30,deep
2025-02-15 04:48:30,deep
2025-02-15 04:49:30,deep
2025-02-15 04:49:30,deep
2025-02-15 04:50:30,deep
2025-02-15 04:50:30,deep
2025-02-15 04:51:30,deep
2025-02-15 04:51:30,deep
2025-02-15 04:52:30,deep
2025-02-15 04:52:30,deep
2025-02-15 04:53:30,deep
2025-02-15 04:53:30,deep
2025-02-15 04:54:30,deep
2025-02-15 04:54:30,deep
2025-02-15 04:55:30,deep
2025-02-15 04:55:30,deep
2025-02-15 04:56:30,deep
2025-02-15 04:56:30,deep
2025-02-15 04:57:30,deep
2025-02-15 04:57:30,deep
2025-02-15 04:58:30,deep
2025-02-15 04:58:30,deep
2025-02-15 04:59:30,deep
2025-02-15 04:59:30,deep
2025-02-15 05:00:30,deep
2025-02-15 05:00:30,deep
2025-02-15 05:01:30,deep
2025-02-15 05:01:30,deep
2025-02-15 05:02:30,deep
2025-02-15 05:02:30,deep
2025-02-15 05:03:30,deep
2025-02-15 05:03:30,deep
2025-02-15 05:04:30,deep
2025-02-15 05:04:30,deep
2025-02-15 05:05:30,deep
2025-02-15 05:05:30,deep
2025-02-15 05:06:30,light
2025-02-15 05:06:30,light
2025-02-15 05:07:30,light
2025-02-15 05:07:30,light
2025-02-15 05:08:30,light
2025-02-15 05:08:30,light
2025-02-15 05:09:30,light
2025-02-15 05:09:30,light
2025-02-15 05:10:30,light
2025-02-15 05:10:30,light
2025-02-15 05:11:30,light
2025-02-15 05:11:30,light
2025-02-15 05:12:30,light
2025-02-15 05:12:30,light
2025-02-15 05:13:30,light
2025-02-15 05:13:30,light
2025-02-15 05:14:30,light
2025-02-15 05:14:30,light
2025-02-15 05:15:30,light
2025-02-15 05:15:30,light
2025-02-15 05:16:30,light
2025-02-15 05:16:30,light
2025-02-15 05:17:30,light
2025-02-15 05:17:30,light
2025-02-15 05:18:30,light
2025-02-15 05:18:30,light
2025-02-15 05:19:30,light
2025-02-15 05:19:30,light
2025-02-15 05:20:30,light
2025-02-15 05:20:30,light
2025-02-15 05:21:30,light
2025-02-15 05:21:30,light
2025-02-15 05:22:30,light
2025-02-15 05:22:30,light
2025-02-15 05:23:30,light
2025-02-15 05:23:30,light
2025-02-15 05:24:30,light
2025-02-15 05:24:30,light
2025-02-15 05:25:30,light
2025-02-15 05:25:30,light
2025-02-15 05:26:30,light
2025-02-15 05:26:30,light
2025-02-15 05:27:30,light
2025-02-15 05:27:30,light
2025-02-15 05:28:30,light
2025-02-15 05:28:30,light
2025-02-15 05:29:30,light
2025-02-15 05:29:30,light
2025-02-15 05:30:30,light
2025-02-15 05:30:30,light
2025-02-15 05:31:30,light
2025-02-15 05:31:30,light
2025-02-15 05:32:30,light
2025-02-15 05:32:30,light
2025-02-15 05:33:30,light
2025-02-15 05:33:30,light
2025-02-15 05:34:30,light
2025-02-15 05:34:30,light
2025-02-15 05:35:30,light
2025-02-15 05:35:30,light
2025-02-15 05:36:30,light
2025-02-15 05:36:30,light
2025-02-15 05:37:30,light
2025-02-15 05:37:30,light
2025-02-15 05:38:30,light
2025-02-15 05:38:30,light
2025-02-15 05:39:30,light
2025-02-15 05:39:30,light
2025-02-15 05:40:30,light
2025-02-15 05:40:30,light
2025-02-15 05:41:30,light
2025-02-15 05:41:30,light
2025-02-15 05:42:30,light
2025-02-15 05:42:30,light
2025-02-15 05:43:30,light
2025-02-15 05:43:30,light
2025-02-15 05:44:30,light
2025-02-15 05:44:30,light
2025-02-15 05:45:30,light
2025-02-15 05:45:30,light
2025-02-15 05:46:30,light
2025-02-15 05:46:30,light
2025-02-15 05:48:00,rem
2025-02-15 05:48:00,rem
2025-02-15 05:49:00,rem
2025-02-15 05:49:00,rem
2025-02-15 05:50:00,rem
2025-02-15 05:50:00,rem
2025-02-15 05:51:00,rem
